anio,cat,siaf_id,pia,pim,devengado
2008,total,300376,1164515,2623653,1687016
2008,total,300377,852588,1478103,1204719
2008,total,300378,772403,1737209,956283
2008,total,300379,1170378,1938140,1454999
2008,total,300380,835238,1426899,1196052
2008,total,300381,4370248,10249862,6001231
2008,total,300382,1046189,1808062,1270959
2008,total,300383,679721,1328201,1079720
2008,total,300384,1883005,4853469,2190999
2008,total,300385,1441053,3660275,2877475
2008,total,300386,1164332,3776015,1396629
2008,total,300387,1012749,1875588,1778198
2008,total,300388,859758,1287271,925771
2008,total,300389,3251661,11478574,5461248
2008,total,300390,1666651,3772573,1556743
2008,total,300391,601090,920231,627812
2008,total,300392,612582,1099128,689763
2008,total,300393,2708514,6443992,4471026
2008,total,300394,1062379,2562529,1796294
2008,total,300395,5553026,18005618,12910305
2008,total,300396,693012,1123080,852501
2008,total,300397,1179933,1959302,912282
2008,total,300398,1066372,2925913,2216895
2008,total,300399,1757622,3538050,2359255
2008,total,300400,702551,1931884,800312
2008,total,300401,693206,1011135,743200
2008,total,300402,1023320,6782750,3644762
2008,total,300403,660324,982561,889769
2008,total,300404,704340,1499104,1392778
2008,total,300405,1041180,1689580,1194553
2008,total,300406,748404,1156021,1128669
2008,total,300407,747074,1423916,936030
2008,total,300408,792882,1704401,1076158
2008,total,300409,767315,1282629,1184758
2008,total,300410,736359,1243789,1086086
2008,total,300411,1103059,2229913,1690409
2008,total,300412,670689,941464,765845
2008,total,300413,1087512,2096902,1254984
2008,total,300414,10379515,30244665,15643001
2008,total,300415,2628201,8558886,4002864
2008,total,300416,926221,2412391,1535413
2008,total,300417,3622423,12169438,7412944
2008,total,300418,1003562,1601653,1222450
2008,total,300419,848562,1963418,1534985
2008,total,300420,2298404,6120438,2671981
2008,total,300421,1116960,2542707,1117014
2008,total,300422,3170502,8998815,5383412
2008,total,300423,8563667,17719423,10701047
2008,total,300424,3296300,7705353,5569264
2008,total,300425,2250181,5293361,3332785
2008,total,300426,2137464,4725151,2994024
2008,total,300427,1418049,2937922,1323352
2008,total,300428,2222582,5337374,2874796
2008,total,300429,2145606,3514194,2279237
2008,total,300430,1184359,1951634,752359
2008,total,300431,682518,1527524,1416798
2008,total,300432,1317606,3059638,2073316
2008,total,300433,983004,1682917,1373315
2008,total,300434,1585723,4429970,2664306
2008,total,300435,632703,1107883,693578
2008,total,300436,676615,840516,684394
2008,total,300437,680254,1108277,392561
2008,total,300438,706596,1113126,603663
2008,total,300439,769748,2391482,1372238
2008,total,300440,28557998,45217534,35870614
2008,total,300441,3231490,5384452,4108753
2008,total,300442,1629540,2423052,2331308
2008,total,300443,2919135,3291365,3089780
2008,total,300444,2464959,4692234,3157236
2008,total,300445,2035044,2075889,1853503
2008,total,300446,1092490,1324722,1299132
2008,total,300447,1809491,2394343,2039325
2008,total,300448,889309,1708433,910174
2008,total,300449,5802427,8575386,6381007
2008,total,300450,721631,1859739,1210301
2008,total,300451,2425446,3958587,3124619
2008,total,300452,1703769,2386261,1867330
2008,total,300453,6042553,9834626,6567902
2008,total,300454,5027424,8829833,6517644
2008,total,300455,2935575,4390570,3574082
2008,total,300456,2760128,4503061,3545860
2008,total,300457,1285396,1661913,1141124
2008,total,300458,2764749,5638440,2634465
2008,total,300459,1827888,6298088,5253221
2008,total,300460,2509239,4360735,3069068
2008,total,300461,1067840,1390594,1094021
2008,total,300462,980359,1586522,1380111
2008,total,300463,1848340,2437734,1377224
2008,total,300464,16562454,31101337,23838057
2008,total,300465,3310002,8368462,5640012
