ano,semana,tipo_dx,n
2013,22,C,210
2013,23,C,213
2013,24,C,182
2013,25,C,150
2013,26,C,143
2013,27,C,161
2013,28,C,169
2013,28,P,1
2013,29,C,146
2013,30,C,85
2013,31,C,90
2013,32,C,112
2013,33,C,134
2013,34,C,134
2013,35,C,97
2013,36,C,98
2013,37,C,119
2013,38,C,78
2013,39,C,115
2013,40,C,137
2013,41,C,130
2013,42,C,122
2013,43,C,162
2013,44,C,147
2013,45,C,202
2013,46,C,262
2013,47,C,345
2013,48,C,326
2013,49,C,291
2013,50,C,279
2013,50,P,1
2013,51,C,209
2013,52,C,261
2013,52,P,1
2014,1,C,427
2014,2,C,444
2014,3,C,461
2014,4,C,522
2014,5,C,488
2014,6,C,553
2014,7,C,581
2014,8,C,538
2014,9,C,449
2014,10,C,428
2014,11,C,378
2014,12,C,383
2014,13,C,351
2014,14,C,310
2014,15,C,340
2014,16,C,306
2014,17,C,272
2014,18,C,307
2014,18,P,1
2014,19,C,315
2014,20,C,264
2014,21,C,264
2014,22,C,269
2014,23,C,363
2014,24,C,312
2014,25,C,373
2014,26,C,351
2014,27,C,351
2014,28,C,314
2014,29,C,260
2014,29,P,1
2014,30,C,188
2014,30,P,1
2014,31,C,180
2014,32,C,182
2014,33,C,246
2014,34,C,239
2014,35,C,186
2014,36,C,247
2014,37,C,271
2014,38,C,244
2014,39,C,279
2014,39,P,2
2014,40,C,262
2014,41,C,310
2014,41,P,1
2014,42,C,343
2014,43,C,292
2014,44,C,223
2014,44,P,6
2014,45,C,293
2014,46,C,291
2014,47,C,341
2014,48,C,311
2014,49,C,313
2014,50,C,266
2014,51,C,258
2014,52,C,251
2014,53,C,232
2015,1,C,272
2015,2,C,289
2015,3,C,323
2015,3,P,4
2015,4,C,333
2015,5,C,373
2015,5,P,2
2015,6,C,392
2015,6,P,1
2015,7,C,511
2015,7,P,4
2015,8,C,516
2015,8,P,3
2015,9,C,575
2015,9,P,21
2015,10,C,591
2015,10,P,45
2015,11,C,646
2015,11,P,37
2015,12,C,693
2015,12,P,34
2015,13,C,640
2015,13,P,62
2015,14,C,997
2015,14,P,111
2015,15,C,1335
2015,15,P,86
2015,16,C,1577
2015,16,P,109
2015,17,C,1553
2015,17,P,172
2015,18,C,1856
2015,18,P,236
2015,19,C,1846
2015,19,P,206
2015,20,C,1878
2015,20,P,156
2015,21,C,1787
2015,21,P,246
2015,22,C,1865
2015,22,P,234
2015,23,C,1787
2015,23,P,194
2015,24,C,1583
2015,24,P,166
2015,25,C,1205
2015,25,P,166
2015,26,C,909
2015,26,P,162
2015,27,C,774
2015,27,P,141
2015,28,C,558
2015,28,P,80
2015,29,C,393
2015,29,P,53
2015,30,C,348
2015,30,P,33
2015,31,C,313
2015,31,P,28
2015,32,C,273
2015,32,P,45
2015,33,C,254
2015,33,P,38
2015,34,C,222
2015,34,P,26
2015,35,C,284
2015,35,P,39
2015,36,C,189
2015,36,P,29
2015,37,C,191
2015,37,P,17
2015,38,C,173
2015,38,P,27
2015,39,C,216
2015,39,P,25
2015,40,C,184
2015,40,P,26
2015,41,C,187
2015,41,P,19
2015,42,C,139
2015,42,P,28
2015,43,C,127
2015,43,P,16
2015,44,C,124
2015,44,P,10
2015,45,C,119
2015,45,P,12
2015,46,C,121
2015,46,P,14
2015,47,C,92
2015,47,P,6
2015,48,C,119
2015,48,P,13
2015,49,C,173
2015,49,P,17
2015,50,C,199
2015,50,P,30
2015,51,C,209
2015,51,P,22
2015,52,C,176
2015,52,P,76
2016,1,C,300
2016,1,P,7
2016,2,C,406
2016,2,P,11
2016,3,C,441
2016,3,P,10
2016,4,C,456
2016,4,P,17
2016,5,C,558
2016,5,P,41
2016,6,C,709
2016,6,P,57
2016,7,C,703
2016,7,P,66
2016,8,C,754
2016,8,P,68
2016,9,C,817
2016,9,P,78
2016,10,C,830
2016,10,P,103
2016,11,C,783
2016,11,P,108
2016,12,C,648
2016,12,P,81
2016,13,C,776
2016,13,P,103
2016,14,C,1007
2016,14,P,131
2016,15,C,1093
2016,15,P,107
2016,16,C,1108
2016,16,P,73
2016,17,C,941
2016,17,P,119
2016,18,C,1004
2016,18,P,116
2016,19,C,1040
2016,19,P,90
2016,20,C,926
2016,20,P,123
2016,21,C,775
2016,21,P,102
2016,22,C,714
2016,22,P,107
2016,23,C,604
2016,23,P,73
2016,24,C,573
2016,24,P,68
2016,25,C,426
2016,25,P,54
2016,26,C,309
2016,26,P,47
2016,27,C,303
2016,27,P,34
2016,28,C,237
2016,28,P,24
2016,29,C,176
2016,29,P,16
2016,30,C,147
2016,30,P,21
2016,31,C,166
2016,31,P,29
2016,32,C,137
2016,32,P,44
2016,33,C,109
2016,33,P,19
2016,34,C,71
2016,34,P,13
2016,35,C,81
2016,35,P,28
2016,36,C,82
2016,36,P,18
2016,37,C,81
2016,37,P,29
2016,38,C,96
2016,38,P,29
2016,39,C,87
2016,39,P,35
2016,40,C,129
2016,40,P,27
2016,41,C,186
2016,41,P,16
2016,42,C,190
2016,42,P,17
2016,43,C,115
2016,43,P,14
2016,44,C,165
2016,44,P,18
2016,45,C,190
2016,45,P,24
2016,46,C,172
2016,46,P,38
2016,47,C,219
2016,47,P,26
2016,48,C,178
2016,48,P,19
2016,49,C,172
2016,49,P,16
2016,50,C,152
2016,50,P,13
2016,51,C,120
2016,51,P,16
2016,52,C,135
2016,52,P,20
2017,1,C,199
2017,1,P,28
2017,2,C,228
2017,2,P,22
2017,3,C,226
2017,3,P,37
2017,4,C,236
2017,4,P,43
2017,5,C,344
2017,5,P,44
2017,6,C,436
2017,6,P,105
2017,7,C,506
2017,7,P,105
2017,8,C,465
2017,8,P,82
2017,9,C,633
2017,9,P,99
2017,10,C,924
2017,10,P,127
2017,11,C,1114
2017,11,P,231
2017,12,C,1607
2017,12,P,234
2017,13,C,2331
2017,13,P,298
2017,14,C,3509
2017,14,P,427
2017,15,C,4259
2017,15,P,419
2017,16,C,5265
2017,16,P,777
2017,17,C,5083
2017,17,P,733
2017,18,C,6485
2017,18,P,587
2017,19,C,5244
2017,19,P,485
