Año,Mes,País,Turistas
2011,12,Grecia,154
2011,12,Guatemala,268
2011,12,Honduras,171
2011,12,Hong Kong,98
2011,12,Hungría,52
2011,12,India,349
2011,12,Indonesia,191
2011,12,Irlanda,406
2011,12,Israel,468
2011,12,Italia,4324
2011,12,Japón,3279
2011,12,Lituania,24
2011,12,Malasia,124
2011,12,Marruecos,26
2011,12,México,4399
2011,12,Nicaragua,104
2011,12,Noruega,536
2011,12,Nueva Zelandia,389
2011,12,Países Bajos,2269
2011,12,Panamá,922
2011,12,Paraguay,380
2011,12,Polonia,327
2011,12,Portugal,311
2011,12,Puerto Rico,70
2011,12,Reino Unido,3473
2011,12,Republica Checa,123
2011,12,Rep. Dominicana,224
2011,12,Rumania,117
2011,12,Rusia (Fed),810
2011,12,Singapur,194
2011,12,Sudáfrica,297
2011,12,Suecia,1513
2011,12,Suiza,2022
2011,12,Tailandia,61
2011,12,Taiwán,202
2011,12,Trinidad y Tobago,21
2011,12,Turquía,65
2011,12,Ucrania,241
2011,12,Uruguay,658
2011,12,Venezuela,5698
2011,12,Vietnam,57
2011,12,Resto del Mundo,2118
2012,1,Alemania,5689
2012,1,Argentina,25718
2012,1,Aruba,20
2012,1,Australia,3114
2012,1,Austria,491
2012,1,Bélgica,790
2012,1,Bielorrusia,31
2012,1,Bolivia,13370
2012,1,Brasil,11389
2012,1,Bulgaria,84
2012,1,Canadá,5060
2012,1,Chile,73373
2012,1,China,794
2012,1,Colombia,12241
2012,1,Corea del Sur,1431
2012,1,Costa Rica,886
2012,1,Croacia,98
2012,1,Cuba,307
2012,1,Dinamarca,472
2012,1,Ecuador,11591
2012,1,Estados Unidos,29957
2012,1,Egipto,23
2012,1,El Salvador,460
2012,1,Eslovaquia,68
2012,1,Eslovenia,51
2012,1,España,8497
2012,1,Filipinas,254
2012,1,Finlandia,253
2012,1,Francia,5467
2012,1,Grecia,101
2012,1,Guatemala,246
2012,1,Honduras,140
2012,1,Hong Kong,158
2012,1,Hungría,101
2012,1,India,207
2012,1,Indonesia,52
2012,1,Irlanda,384
2012,1,Israel,785
2012,1,Italia,4215
2012,1,Japón,3613
2012,1,Lituania,46
2012,1,Malasia,66
2012,1,Marruecos,9
2012,1,México,3225
2012,1,Nicaragua,89
2012,1,Noruega,506
2012,1,Nueva Zelandia,351
2012,1,Países Bajos,2375
2012,1,Panamá,936
2012,1,Paraguay,421
2012,1,Polonia,557
2012,1,Portugal,452
2012,1,Puerto Rico,35
2012,1,Reino Unido,3485
2012,1,Republica Checa,276
2012,1,Rep. Dominicana,218
2012,1,Rumania,134
2012,1,Rusia (Fed),984
2012,1,Singapur,46
2012,1,Sudáfrica,244
2012,1,Suecia,1210
2012,1,Suiza,1649
2012,1,Tailandia,45
2012,1,Taiwán,300
2012,1,Trinidad y Tobago,22
2012,1,Turquía,151
2012,1,Ucrania,188
2012,1,Uruguay,790
2012,1,Venezuela,4215
2012,1,Vietnam,66
2012,1,Resto del Mundo,1786
2012,2,Alemania,5055
2012,2,Argentina,12490
2012,2,Aruba,16
2012,2,Australia,2003
2012,2,Austria,581
2012,2,Bélgica,686
2012,2,Bielorrusia,30
2012,2,Bolivia,8323
2012,2,Brasil,8398
2012,2,Bulgaria,57
2012,2,Canadá,5148
2012,2,Chile,87511
2012,2,China,879
2012,2,Colombia,10048
2012,2,Corea del Sur,1315
2012,2,Costa Rica,536
2012,2,Croacia,47
2012,2,Cuba,286
2012,2,Dinamarca,538
2012,2,Ecuador,16688
2012,2,Estados Unidos,31041
2012,2,Egipto,7
2012,2,El Salvador,412
2012,2,Eslovaquia,47
2012,2,Eslovenia,69
2012,2,España,8200
2012,2,Filipinas,194
2012,2,Finlandia,262
2012,2,Francia,5898
2012,2,Grecia,76
2012,2,Guatemala,205
2012,2,Honduras,136
2012,2,Hong Kong,153
2012,2,Hungría,67
2012,2,India,270
2012,2,Indonesia,208
2012,2,Irlanda,329
2012,2,Israel,820
2012,2,Italia,3339
2012,2,Japón,5693
2012,2,Lituania,67
2012,2,Malasia,99
2012,2,Marruecos,10
2012,2,México,2782
2012,2,Nicaragua,91
2012,2,Noruega,545
2012,2,Nueva Zelandia,219
2012,2,Países Bajos,1625
2012,2,Panamá,1104
2012,2,Paraguay,324
2012,2,Polonia,430
2012,2,Portugal,230
2012,2,Puerto Rico,35
2012,2,Reino Unido,4965
2012,2,Republica Checa,324
2012,2,Rep. Dominicana,195
2012,2,Rumania,129
2012,2,Rusia (Fed),831
2012,2,Singapur,63
2012,2,Sudáfrica,147
2012,2,Suecia,1029
2012,2,Suiza,1783
2012,2,Tailandia,144
2012,2,Taiwán,234
2012,2,Trinidad y Tobago,33
2012,2,Turquía,105
2012,2,Ucrania,163
2012,2,Uruguay,657
2012,2,Venezuela,4028
2012,2,Vietnam,45
2012,2,Resto del Mundo,630
2012,3,Alemania,6284
2012,3,Argentina,12587
2012,3,Aruba,15
2012,3,Australia,2883
2012,3,Austria,573
2012,3,Bélgica,894
2013,1,Alemania,4354
2013,1,Argentina,21198
2013,1,Aruba,25
2013,1,Australia,3045
2013,1,Austria,493
2013,1,Bélgica,837
2013,1,Bielorrusia,37
2013,1,Bolivia,10034
2013,1,Brasil,11723
2013,1,Bulgaria,65
2013,1,Canadá,4889
2013,1,Chile,83989
2013,1,China,888
2013,1,Colombia,14396
2013,1,Corea del Sur,1600
2013,1,Costa Rica,897
2013,1,Croacia,78
2013,1,Cuba,242
2013,1,Dinamarca,462
2013,1,Ecuador,13085
2013,1,Estados Unidos,32292
2013,1,Egipto,13
2013,1,El Salvador,457
2013,1,Eslovaquia,68
2013,1,Eslovenia,67
2013,1,España,8933
2013,1,Filipinas,195
2013,1,Finlandia,245
2013,1,Francia,4852
2013,1,Grecia,76
2013,1,Guatemala,234
2013,1,Honduras,164
2013,1,Hong Kong,82
2013,1,Hungría,142
2013,1,India,241
2013,1,Indonesia,66
2013,1,Irlanda,371
2013,1,Israel,599
2013,1,Italia,4085
2013,1,Japón,4408
2013,1,Lituania,41
2013,1,Malasia,62
2013,1,Marruecos,18
2013,1,México,3939
